ID	Nome	Depart.	Tempo	Número da máquina	
7		Not Set1	 17/06/2025     13:17:10	1
15		Not Set1	 17/06/2025     16:59:11	1
4		Not Set1	 17/06/2025     16:59:21	1
7		Not Set1	 17/06/2025     16:59:43	1
11		Not Set1	 17/06/2025     17:00:01	1
14		Not Set1	 17/06/2025     17:00:06	1
13		Not Set1	 17/06/2025     17:00:14	1
3		Not Set1	 17/06/2025     17:00:20	1
9		Not Set1	 17/06/2025     17:00:44	1
10		Not Set1	 17/06/2025     17:01:08	1
10		Not Set1	 18/06/2025     06:55:32	1
14		Not Set1	 18/06/2025     06:55:36	1
4		Not Set1	 18/06/2025     06:55:43	1
13		Not Set1	 18/06/2025     06:55:52	1
11		Not Set1	 18/06/2025     06:55:58	1
9		Not Set1	 18/06/2025     06:56:42	1
15		Not Set1	 18/06/2025     06:57:13	1
3		Not Set1	 18/06/2025     06:57:27	1
7		Not Set1	 18/06/2025     08:05:27	1
15		Not Set1	 18/06/2025     11:59:25	1
7		Not Set1	 18/06/2025     11:59:39	1
4		Not Set1	 18/06/2025     11:59:48	1
11		Not Set1	 18/06/2025     12:00:02	1
14		Not Set1	 18/06/2025     12:00:09	1
10		Not Set1	 18/06/2025     12:00:17	1
3		Not Set1	 18/06/2025     12:00:22	1
13		Not Set1	 18/06/2025     12:00:39	1
9		Not Set1	 18/06/2025     12:01:16	1
13		Not Set1	 18/06/2025     12:55:38	1
4		Not Set1	 18/06/2025     12:55:48	1
10		Not Set1	 18/06/2025     12:55:54	1
14		Not Set1	 18/06/2025     12:56:06	1
15		Not Set1	 18/06/2025     12:56:12	1
3		Not Set1	 18/06/2025     12:56:37	1
11		Not Set1	 18/06/2025     12:57:29	1
9		Not Set1	 18/06/2025     13:00:15	1
7		Not Set1	 18/06/2025     13:10:16	1
15		Not Set1	 18/06/2025     16:59:14	1
4		Not Set1	 18/06/2025     16:59:23	1
11		Not Set1	 18/06/2025     17:00:01	1
7		Not Set1	 18/06/2025     17:00:09	1
9		Not Set1	 18/06/2025     17:00:18	1
